name,link,desc,chef,prepTime,cooktime,total,ingredients,instructions,rating,num_of_reviews,calories,servings,fat,carb,protein,cholesterol,sodium,image
A-bun-dantly Creative ( Flower Arrangements),https://www.tarladalal.com/A-bun-dantly-Creative-(-Flower-Arrangements)-37167r,"A floral centerpiece always adds a touch of class to a formal sit-down dinner. If you're planning a party and are too busy cooking and cleaning, rope your children into making an unusual arrangement that combines the elegance of flowers with the versatility of bread. Sonal panchmatia shows how!",Tarla Dalal,30 mins,0 mins ,30 mins ,"38836, 38837","Start by placing a protective covering over your table. Place a cane mat in the center of the table. Take 5 roll buns and place them horizontally on a mat at an equal distance form each other.
Place a gerbera between 2 roll buns in a raised position as shown in the picture.
Add some asparagus ferns to add colour. They can be placed beneath the petals.
Cut the lavash bread into triangles of various sizes. Use raffia to tie the triangles around a round candle. Decorate 2 candles in this manner. Place the candles on oppsite corners of the mat near the bread.
Your eye-catching centerpiece is ready.
Raffia is a soft natural fibre sued for weaving, winding and making baskets, mats and many other items.",NULL,NULL,NULL,1 centrepiece,NULL,NULL,NULL,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_a-bun-dantly_creative!-4706.jpg?size=500X650
"Aam ka Achaar, Mango Pickle, Punjabi Achar",https://www.tarladalal.com/Aam-ka-Achaar-Mango-Pickle-Punjabi-Achar-30931r,"During the mango season in the summer in Punjab, one can see at least two or three earthenware jars full of pickled raw mangoes maturing in the sun outside homes. This typical Punjabi recipe for making mango pickle is most popular in the region. The combination of fennel seeds, nigella seeds with mustard and other pickling spices is what distinguishes this mango pickle from its equally famous Gujarati counter part.Sun-dried mangoes used in this pickle impart a salty chewy character and also improve the shelf life of the pickle. This is a very simple recipe to follow. Just keep in mind the basics of pickle making a clean sterilized jar, see that there is no moisture and ensure that mustard oil forms a covering layer over the ingredients in the jar.",Tarla Dalal,15 mins,10 mins,25 mins ,"38867, 38868, 38869, 38870, 38871, 38872, 38873, 38874, 38875, 38876","Combine the mangoes, turmeric powder and 2 tbsp of salt and toss well.
Place the mangoes on a sieve, cover and place under the sun for 4 to 6 hours.
Combine the rest of the ingredients in a bowl and mix well.
Add the mangoes and toss well.
Bottle the pickle in a sterilised glass jar. Place the pickle under the sun for 4 to 5 days. This pickle can be stored for upto 1 year.",4,5,380 cal,2 servings,25.8 g,35.5 g,1.3 g,0 mg,54.6 mg,https://www.tarladalal.com/members/9306/big/big_aam_ka_achaar_(_punjabi_recipe_)-4670.jpg?size=500X650
Aam aur Chane ka Achaar,https://www.tarladalal.com/Aam-aur-Chane-ka-Achaar-3003r,"The summers in India are quite unbearable, but they have a saving grace - the mango season. Everyone looks forward to the yearly mango crop and housewives get busy blending the myriad spices needed for a whole year's supply of mango pickles.  As pickles are an essential feature of the Indian menu, new and more innovative varieties come up from time to time. This recipe is of a tongue tickling grated mango and chick pea pickle combined judiciously with whole and powdered spices. The chick peas in this recipe take on a sour salty flavour as they are soaked in raw mango juice. Like all oil pickles, this has a shelf life of upto one year but I am sure it will be eaten up much before that.",Tarla Dalal,24 hours.,0 mins ,144024 hours,"38877, 38878, 38868, 38879, 38880, 38881, 38882, 38883, 38884, 38885, 38886, 38887","Combine the grated mango, turmeric powder and salt and leave aside for 30 minutes.
Squeeze out all the mango water using a muslim cloth and keep aside. Keep the grated mango aside separately.
Soak the Kabuli chana and fenugreek seeds in the mango water overnight.
Refrigerate the grated mango.
Combine the fenugreek seeds powder, fennel seeds, asafoetida, nigella seeds, whole red chillies, chilli powder and soaked Kabuli chana mixture with the grated mango. Mix well.
Heat the mustard oil. Cool it and add to the prepared mixture.
Bottle the pickle in a sterilised glass jar.
The pickle is ready to eat after 3 to 4 days.
Store it a cool dry place for upto 1 year.",5,2,1342 cal,2 cups.,127.5 g,43.2 g,7.5 g,0 mg,2.1 mg,https://www.tarladalal.com/members/9306/big/big_aam_aur_chane_ka_achaar-9138.jpg?size=696X905
Aam Aur Chane ka Achaar (  Rajasthani),https://www.tarladalal.com/Aam-Aur-Chane-ka-Achaar-(--Rajasthani)-3904r,"Quick-fixes are there for every dish, from soups to pickles. However, the slow and steady method, although laborious, is often the tastiest. You will realise this truth when, after waiting for seven days, you first relish a spoonful of this delicious Aam aur Chane ka Achaar. A typical Rajasthani pickle of raw mangoes and white chick peas perked up with a large assortment of spices and preserved with mustard oil, this pickle has a wonderful mix of flavours ranging from sour to spicy. Remember to sterilize the jars before storing the pickle, so it will keep well for much longer.",Tarla Dalal,10 mins,4 mins,14 mins ,"38878, 38877, 38868, 1269, 38879, 38880, 38881, 38882, 38883, 38888, 38885, 38886","Combine the raw mango, turmeric powder and salt in a deep bowl, mix well and keep aside for 30 minutes.
Squeeze out all the water from the raw mango in a bowl and keep aside. Keep the raw mango water and grated raw mango separately.
Refrigerate the grated raw mango overnight.
Combine the fenugreek seeds, kabuli chana and raw mango water into a deep bowl, mix well and cover and keep aside overnight.
Combine the fenugreek seed powder, fennel seeds, asafoetida, nigella seeds, kashmiri red chillies, chilli powder along the grated raw mango and kabuli chana-fenugreek seeds mixture into a deep bowl, mix well and keep aside.
Heat the mustard oil in a deep non-stick kadhai on a medium flame for 3 to 4 minutes or till red hot.
Remove from the flame and allow it to cool.
Once cooled, add the oil to the prepared mixture and mix well.
Bottle the pickle in a sterilized glass jar and keep aside for 6 to 7 days. After 7 days, it is ready to eat.",4,5,95 cal,2 cups (28 tbsp ),9.1 g,3 g,0.5 g,0 mg,0.1 mg,https://www.tarladalal.com/members/9306/big/big_aam_aur_chane_ka_achaar_(__rajasthani)-11826.jpg?size=696X905
"Aam Ke Pakode, Mango Bhajiya",https://www.tarladalal.com/Aam-Ke-Pakode-Mango-Bhajiya-36291r,"You would have tried bhajiyas with all kinds of veggies ranging from onions to raw bananas, and you might even have tried making it with ripe yellow bananas. But, have you ever had a taste of Aam ke Pakode or Mango Bhajiyas? Well, this delightful seasonal treat is a must-try. Choose ripe and sweet Alphonso mangoes, cube them, dip them in a spicy batter and deep-fry till crisp, and voila, you have an absolutely awesome tea-time snack ready.",Tarla Dalal,15 mins,20 mins,35 mins ,"38889, 38890, 38891, 38892, 38893, 38894, 38855, 38895, 1269","Heat the oil in a deep non-stick pan, dip the mango cubes individually into the batter and deep-fry till they turn golden brown and crisp from all the sides. Drain on an absorbent paper.
Serve immediately.",5,1,237 cal,5 servings (5 serving ),11.6 g,27.3 g,5.8 g,0 mg,28.9 mg,"https://www.tarladalal.com/members/9306/big/big_aam_ke_pakode,_mango_bhajiya-11507.jpg?size=696X905"
A Checkerboard Of Roses ( Flower Arrangements),https://www.tarladalal.com/A-Checkerboard-Of-Roses-(-Flower-Arrangements)-37154r,"While at a party where the game of chess was the theme, our flower expert sonal panchmatia was inspired to create this checkerboard of roses. The arrangement is particularly aimed at embellishing a low dining0table sit-down. Complementing the roses in the arrangement is fresh, green asparagus and fragrant lemongrass.",Tarla Dalal,30 mins,0 mins ,30 mins ,"38896, 38897, 38898, 38899","Soak the piece of foam well in water before placing it on the tray. Keep the tray at the place where you want to set up the arrangement. Slice the foam to a very low height, in keeping with the height of your low dining-table sit-down.
Depending on their thickness, make four equal-looking bundles of the asparagus, probably using 8 to 10 stems in each. Tie each bundle up with lemongrass and place the bundles along the base of the tray, forming a square. Then tie the four corners with lemongrass to hold the asparagus in place.
Before using the roses, cut the stems to about 6"" to 8"" and leave them in water for about 1/2 hour so that they last longer. Here we have chosen pink and white roses.
Place the roses first in the outer square of the sponge, alternating the white with the pink. Then, in a similar manner, fill up the whole square.
To finish off, use the asparagus ferns to cover up any spaces where the foam is still visible.
If you find asparagus difficult to find, use small drumsticks instead.",NULL,NULL,NULL,1 piece,NULL,NULL,NULL,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_a_checkerboard_of_roses_(_flower_arrangements)-4684.jpg?size=500X650
Achaari Aloo Roll ( Wraps and Rolls),https://www.tarladalal.com/Achaari-Aloo-Roll-(-Wraps-and-Rolls)-32665r,"Achaar is synonymous with indian cuisine. Undoubtedly, it adds a brilliant touch to wraps too! lacing the spicy potato filling with aam aur chane ka achaar makes your tongue tingle with joy. I’m sure you’ll love it purely because of its simplicity. This recipe has to be planned in advance as the achaar has to be marinated for 3 to 4 days. Else, you can buy readymade aam ka achaar.",Tarla Dalal,20 mins,20 mins,40 mins ,"38900, 38868, 38887, 38879, 38877, 38880, 38881, 38882, 38883, 38884, 38885, 38886, 38849, 38901, 38902, 38903, 38904, 38905, 38906, 38907, 38908, 38909, 1269, 38910, 38911, 38912","Combine the mangoes, turmeric powder and salt in a bowl, mix well and leave aside for 30 minutes. Squeeze out all the water from the mangoes and keep  refrigerated till use.
Soak the kabuli chana and fenugreek seeds in the mango water overnight.
Combine the fenugreek seeds powder, fennel seeds, asafoetida, nigella seeds, whole red chillies, chilli powder, soaked kabuli chana mixture and grated mangoes in a bowl and mix well.
Heat the mustard oil in a small pan and cool completely. Add it to the prepared mixture.
Place the pickle in a sterilised glass jar and store it in a cool dry place.
The pickle is ready to eat after 3 to 4 days. Store it a cool dry place for upto 1 year.
Heat the oil in a broad pan and add the cumin seeds.
When the seeds crackle, add the onions and sauté on a medium flame till they turn translucent.
Add the green chillies and ginger and sauté on a medium flame for 30 seconds.
Add the potatoes, green peas, chaat masala, garam masala, coriander and salt, mix well and sauté on a medium flame for another 2 to 3 minutes. Keep aside.
Combine the onion rings and chaat masala in a bowl, mix well and keep aside.
Place a roti on a clean dry surface and arrange ¼th of the spicy potato filling in a row in the centre of the roti.
Spread 1 tsp of aam aur chane ka achaar and arrange ¼ cup of onion rings over it and roll it up tightly.
Repeat with the remaining ingredients to make 3 more rolls.
Wrap a tissue paper around each roll and serve immediately.",NULL,NULL,NULL,4 rolls,NULL,NULL,NULL,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_achaari-aloo-roll-(wraps-and-rolls)-1559.jpg?size=500X652
Aam ki Katki ka Muraba,https://www.tarladalal.com/Aam-ki-Katki-ka-Muraba-3427r,"Murabba or ""morabba"" is an Arabic word meaning to preserve. This versatile murabba is made of finely chopped raw mangoes cooked in thick sugar syrup and spiced with sambhaar.  Chop the mango pieces evenly so that they cook well in the sugar syrup and also look attractive. Enjoy this pickle with hot rotis or a spicy vegetable.",Tarla Dalal,15 mins.,45 mins.,601 hours,"38913, 38914, 38915, 38916, 38917, 38918, 38919","Combine the sugar with 3 cups of water and cook till the sugar has dissolved, stirring occasionally.
Add the mango pieces and grated mangoes and cook over a slow flame (approximately 25 to 30 minutes), stirring occasionally till the sugar syrup is of one string consistency and the mango pieces are soft and translucent.
Add the sambhaar, almonds, poppy seeds and salt and mix well.
Allow to cool completely. Bottle in a sterilised glass jar. This can be stored for upto 1 year refrigerated.",NULL,NULL,1081 cal,2 cups.,24.4 g,210.1 g,4 g,0 mg,36.4 mg,https://www.tarladalal.com/members/9306/big/big_aam_ki_katki_ka_muraba-6113.jpg?size=500X650
Aam Lassi Slush,https://www.tarladalal.com/Aam-Lassi-Slush-2848r,"Here, we bring together two favourite beverage formats – slush and lassi! Rich and luscious mango lassi is blended with mint leaves and ice cubes to get a slushy, peppy drink, which is sure to be enjoyed by everybody. Remember to let the Aam Lassi Slush rest a while out of the freezer so you can mix it up with a fork before serving, with an appetizing garnish of mint leaves.",Tarla Dalal,10 mins,0 mins ,10 mins ,"38920, 38921, 38922, 38923, 38924, 38925","Combine all the ingredients in a mixer and blend till smooth.
Pour the mixture into a shallow aluminium container and cover it with an aluminium foil.
Freeze it for approx. 4 to 6 hours or until it is firm.
Remove it from the freezer and keep aside for 4 to 5 minutes.
Scrape it with a fork and serve immediately  in small glasses garnished with mint leaves.",4,3,91 cal,4 servings,0.2 g,21.9 g,0.3 g,0 mg,9.1 mg,https://www.tarladalal.com/members/9306/big/big_aam_lassi_slush-10177.jpg?size=696X905
Achaari Dahi Bhindi,https://www.tarladalal.com/Achaari-Dahi-Bhindi-22779r,"A double-tangy subzi with the combined sourness of curds and tomatoes, perked up with a wide assortment of seeds and spice powders, which give it a super peppy flavour and aroma too. The ladies finger is sliced and shallow-fried before preparing the gravy, so that it has a nice texture and does not end up gooey, which sometimes happens when you add bhindi to a dish without sautéing it properly. Serve hot with any roti of your choice.",Tarla Dalal,10 mins,13 mins,23 mins ,"38926, 38927, 38928, 38929, 38872, 38930, 38873, 38931, 38932, 1269, 38933, 38856, 38855, 38934, 1269, 38935","Heat 4 tbsp of oil in a broad non-stick pan, add the ladies finger, mix gently and cook on a medium flame for 5 to 6 minutes, while tossing occasionally. Remove in a deep bowl and keep aside.
Heat the remaining 1 tbsp of oil in the same broad non-stick pan, add the fennel seeds, mustard seeds, nigella seeds, fenugreek seeds and asafoetida and sauté on a medium flame for a few seconds.
Add the ginger and sauté on a medium flame for 30 more seconds.
Add the tomatoes, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally.
Lower the flame, add the curd mixture, mix well and cook for 1 minute, while stirring continuously.
Add the shallow-fried ladies finger and salt, mix well and cook on a medium flame for 1 to 2 minutes, while stirring occasionally.
Serve hot with rotis or parathas.",4,19,328 cal,3 servings,27.6 g,13.3 g,4.8 g,0 mg,22.4 mg,https://www.tarladalal.com/members/9306/big/big_achaari_dahi_bhindi-10258.jpg?size=696X905
